,City,Country ID,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed (mph)
380,Mariental,DE,31.81,52.28,10.99,91,80,6.53
381,Matamoros,US,70.23,25.87,-97.51,78,20,12.75
382,Matata,NZ,71.32,-37.89,176.76,98,92,16.26
383,Mataura,NZ,50.98,-46.19,168.86,96,76,3.74
384,Mayo,CA,-27.41,63.59,-135.9,67,75,4.85
385,Mayskiy,RU,37.4,43.63,44.06,100,90,4.47
386,Mayumba,GA,80.68,-3.44,10.65,95,20,6.76
387,Media Luna,BO,80.6,-21.67,-64.63,44,20,4.7
388,Mehamn,NO,26.09,71.03,27.85,90,36,16.93
389,Mehriz,IR,55.4,31.58,54.44,22,0,4.7
390,Menongue,AO,70.42,-14.66,17.68,81,24,2.51
391,Meulaboh,ID,79.78,4.14,96.13,100,8,3.62
392,Mezinovskiy,RU,19.34,55.48,40.41,82,56,13.13
393,Mier,IT,36.63,46.13,12.19,60,0,5.82
394,Mingoyo,TZ,76.21,-10.1,39.64,81,56,4.16
395,Miri,NG,81.85,10.31,9.75,39,0,3.4
396,Mitsamiouli,KM,82.4,-11.38,43.28,65,20,3.4
397,Moanda,CD,86,-5.93,12.38,74,40,8.05
398,Modasa,IN,60.52,23.47,73.3,60,0,6.76
399,Moindou,NC,69.8,-21.69,165.68,94,75,3.36
400,Monrovia,LR,86,6.33,-10.8,66,75,9.17
401,Montes Claros,BR,86,-16.73,-43.87,51,20,3.36
402,Moose Factory,CA,1.4,51.26,-80.61,49,75,10.29
403,Motala,SE,30.83,58.54,15.04,86,36,6.93
404,Mount Gambier,AU,61.6,-37.83,140.78,74,88,5.53
405,Mount Isa,AU,75.2,-20.73,139.49,57,0,5.82
406,Mountain Home,US,36.32,43.13,-115.69,64,1,27.51
407,Mumford,GH,83.56,5.26,-0.76,76,8,11.45
408,Muros,ES,46.4,42.77,-9.06,93,90,4.7
409,Murray Bridge,AU,63.67,-35.12,139.28,100,92,12.12
410,Myaundzha,RU,-10.23,63.05,147.18,63,68,2.95
411,Nabire,ID,68.8,-3.36,135.5,96,32,1.95
412,Namatanai,PG,80.63,-3.66,152.44,100,64,7.76
413,Namibe,AO,76.45,-15.19,12.15,100,0,11.45
414,Nanakuli,US,65.37,21.39,-158.15,68,75,3.36
415,Nanortalik,GL,19.43,60.14,-45.24,100,68,22.53
416,Narsaq,GL,1.4,60.91,-46.05,45,20,6.93
417,Nassau,DE,32,51.17,13.51,81,90,5.82
418,Natalio,PY,88.64,-26.76,-55.14,67,68,2.73
419,Naze,NG,89.6,5.43,7.07,62,75,11.41
420,Nchelenge,ZM,66.91,-9.35,28.74,100,56,2.17
421,Necochea,AR,70.42,-38.55,-58.74,62,68,16.49
