,Account Name,Tweet Text,Compound Score,Positive Score,Neutral Score,Negative Score,Date
68,BBC News (World),Bronx fire: 'People were screaming' https://t.co/FxbkWnVQZe,-0.6124,0.0,0.444,0.556,Fri Dec 29 05:29:49 +0000 2017
69,BBC News (World),"A Zimbabwean family has been stranded in Bangkok's airport for months, echoing the Tom Hanks film The Terminal:… https://t.co/MbnmDJ9L5Q",0.0,0.0,1.0,0.0,Fri Dec 29 05:29:47 +0000 2017
70,BBC News (World),Zimbabwean family stranded in Bangkok airport for months https://t.co/ttM3vGoEyQ,0.0,0.0,1.0,0.0,Fri Dec 29 05:16:56 +0000 2017
71,BBC News (World),"@BBCBreaking @BilldeBlasio New York fire: One-year-old child among the dead, mayor @BilldeBlasio confirms… https://t.co/5BTtVtl9OQ",-0.7717,0.0,0.642,0.358,Fri Dec 29 03:45:12 +0000 2017
72,BBC News (World),"RT @BBCNewsAsia: .@realDonaldTrump is ""very disappointed"" with Beijing for allowing oil to be shipped into North Korea: https://t.co/xe9RwG…",-0.5256,0.0,0.834,0.166,Fri Dec 29 03:36:28 +0000 2017
73,BBC News (World),"@BBCBreaking New York fire: Mayor @BilldeBlasio says blaze now 'under control' 

More than 160 fire-fighters on sce… https://t.co/spzXGld2r7",-0.34,0.0,0.876,0.124,Fri Dec 29 03:28:47 +0000 2017
74,BBC News (World),"RT @BBCBreaking: New York fire is ""worst in several decades"". 

Mayor's office now confirms 12 people have been killed by late night blaze:…",-0.9001,0.0,0.645,0.355,Fri Dec 29 03:14:41 +0000 2017
75,BBC News (World),RT @BBCBreaking: Images from New York as Bronx fire kills six people and seriously injures several: https://t.co/204NWRU9nL https://t.co/83…,-0.765,0.0,0.664,0.336,Fri Dec 29 02:57:55 +0000 2017
76,BBC News (World),North Korea: Trump accuses China of allowing oil transfers https://t.co/UB4NLXOMyp,-0.34,0.0,0.789,0.211,Fri Dec 29 02:45:33 +0000 2017
77,BBC News (World),Bronx fire: Casualties in New York apartment block blaze https://t.co/lvlWMjZaVJ,-0.6486,0.0,0.602,0.398,Fri Dec 29 02:32:36 +0000 2017
78,BBC News (World),RT @BBCNewsAsia: Former sumo champion Harumafuji charged with assault: https://t.co/iLhXfNSauo https://t.co/Waoiyblz0r,-0.1779,0.223,0.457,0.32,Fri Dec 29 02:30:46 +0000 2017
79,BBC News (World),"RT @BBCNewsAsia: A Japanese woman has died in awful conditions, after being imprisoned by her own parents for 15 years: https://t.co/h4Z9CX…",-0.8625,0.0,0.639,0.361,Fri Dec 29 02:17:10 +0000 2017
80,BBC News (World),"RT @BBCBreaking: Massive fire breaks out at popular Mumbai complex, killing at least 14 people, officials say: https://t.co/JM3qSBfYgG",-0.6124,0.114,0.61,0.276,Fri Dec 29 02:06:43 +0000 2017
81,BBC News (World),"RT @BBCNewsAsia: A round of applause for this forest guard in southern India, who just saved a baby elephant that fell into a ditch!

????:…",0.7088,0.228,0.772,0.0,Fri Dec 29 02:06:37 +0000 2017
82,BBC News (World),"RT @BBCNewsAsia: In Afghanistan, young women are reportedly being subjected to degrading virginity tests: https://t.co/kaOfIvl9Zd https://t…",-0.5859,0.0,0.798,0.202,Fri Dec 29 01:57:10 +0000 2017
83,BBC News (World),Justine Damond: US prosecutor delays decision on charges https://t.co/benciXqRnR,-0.2732,0.0,0.792,0.208,Fri Dec 29 01:43:55 +0000 2017
84,BBC News (World),Elephant rescue https://t.co/Cv9JVGiW1W,0.5106,0.623,0.377,0.0,Fri Dec 29 01:16:02 +0000 2017
85,BBC News (World),Exporting doctors https://t.co/7Wx3qWa4Ui,0.0,0.0,1.0,0.0,Fri Dec 29 00:50:45 +0000 2017
86,BBC News (World),A matter of shame https://t.co/r4wgQXGpOl,-0.4588,0.177,0.323,0.5,Fri Dec 29 00:47:26 +0000 2017
